label,youtube_id,time_start,time_end,split
clay pottery making,LHtsiogBKvM,34,44,train
clay pottery making,K4O9S_gpgbY,64,74,train
clay pottery making,kVAScTNRnwA,72,82,train
clay pottery making,RE9bEWMzVtg,0,10,train
clay pottery making,4mbdJHOnPuA,1,11,train
clay pottery making,P8styuac15I,44,54,train
clay pottery making,-GU00Yxwafc,29,39,train
clay pottery making,EOxV6ZCjy8U,29,39,train
clay pottery making,FP0XDogwwW8,22,32,train
clay pottery making,6Yjq8VVwmkc,18,28,train
clay pottery making,EeAaOXsZTR4,31,41,train
clay pottery making,BGEr-cekUbU,66,76,train
clay pottery making,2mya8veNSJg,79,89,train
clay pottery making,d7ajxuUmWGo,3,13,train
clay pottery making,flzMs93nUNI,57,67,train
clay pottery making,bUECqWVIAEg,11,21,train
clay pottery making,9EeIMan4ejU,45,55,train
clay pottery making,eHKlTn9LeY8,62,72,train
clay pottery making,hEipkE0c1gU,64,74,train
clay pottery making,K3xfXto4KlU,9,19,train
clay pottery making,2DJPtFvPYeA,36,46,train
clay pottery making,BIdqoAreII0,16,26,train
clay pottery making,LArIkBv6pVo,68,78,train
clay pottery making,TdjuNayfU4Y,49,59,train
clay pottery making,McjVzT05xBo,28,38,train
clay pottery making,0Ke4sRvzG0s,23,33,train
clay pottery making,_VfIX1A4XCs,12,22,train
clay pottery making,AY09YtQMSV4,34,44,train
clay pottery making,4YMkq-EEThk,71,81,train
clay pottery making,6QKfQGCBZW0,5,15,train
clay pottery making,NzS2ejvBnhI,15,25,train
clay pottery making,5cm0s1T7SRM,36,46,train
clay pottery making,r8ULnqkC4ns,19,29,train
clay pottery making,4McH4PsN2BQ,17,27,train
clay pottery making,E-aaKfDQsWE,49,59,train
clay pottery making,NOtu_kCPD98,48,58,train
clay pottery making,F0TvmB3uGuw,17,27,train
clay pottery making,K8QOfoB8f2Q,35,45,train
clay pottery making,SKR8vOH1ewo,36,46,train
clay pottery making,SNwR5zYGgZI,0,10,train
clay pottery making,f0LU31eTLnk,47,57,train
clay pottery making,9agZQkyFbWk,0,10,train
clay pottery making,saDlvB3axy8,38,48,train
clay pottery making,idy3gZUlFIM,18,28,train
clay pottery making,uelDxTnqQtE,58,68,train
clay pottery making,PIxBCpOiCkE,12,22,train
clay pottery making,9UTd1nbBIXk,64,74,train
clay pottery making,aNm8OddpYWI,17,27,train
clay pottery making,O0hGDQEgmBA,3,13,train
clay pottery making,3lwCwkHwsM4,12,22,train
clay pottery making,9lX8jv_Ytj0,40,50,train
clay pottery making,FKFVsuxhn2I,38,48,train
clay pottery making,hJxQ9ORDKMc,0,10,train
clay pottery making,B0-tBXBHaaQ,0,10,train
clay pottery making,BXV90EaZawU,18,28,train
clay pottery making,xp7E8PcTJrE,43,53,train
clay pottery making,TG3TIWlRtVk,21,31,train
clay pottery making,4UYJeHEmv74,50,60,train
clay pottery making,9fZxWLXQ3Mo,60,70,train
clay pottery making,6z-pDTO3Jgk,56,66,train
clay pottery making,d4iJFYu5sdI,2,12,train
clay pottery making,0WHlTQUp5oY,51,61,train
clay pottery making,5TVbb7fzer0,32,42,train
clay pottery making,CAjt2b8bJSA,14,24,train
clay pottery making,zMRCdvMcCSc,47,57,train
clay pottery making,XATmlBBbRhU,8,18,train
clay pottery making,r1BwO5hMc8I,35,45,train
clay pottery making,6wbL1xAselc,78,88,train
clay pottery making,sdH90d2je1g,53,63,train
clay pottery making,m0wh-70ZS3Q,19,29,train
clay pottery making,Ac6HiBrAlTc,10,20,train
clay pottery making,c3UadnmeiBU,68,78,train
clay pottery making,ohdSEosqcNg,19,29,train
clay pottery making,Aec1yrmE_ts,44,54,train
clay pottery making,hfYyU0cmnbQ,28,38,train
clay pottery making,uGNW8AroyOM,0,10,train
clay pottery making,8YDGPeIhJKk,79,89,train
clay pottery making,F6dNB-t-n7M,48,58,train
clay pottery making,klMrlXenPU0,78,88,train
clay pottery making,QHUhdtuhWSQ,13,23,train
clay pottery making,0ojEbCXlKj4,3,13,train
clay pottery making,0UikhkRfKJU,66,76,train
clay pottery making,8ihVeRV5mOk,31,41,train
clay pottery making,MAb2h5wZB_w,0,10,train
clay pottery making,AO-5qJx_Ij0,3,13,train
clay pottery making,6AjtQMP90As,0,10,train
clay pottery making,NmIOEqpqrzY,33,43,train
clay pottery making,F5ADkh8yu-w,1,11,train
clay pottery making,jbotJ7C28-g,8,18,train
clay pottery making,2MvwQND6Mts,75,85,train
clay pottery making,QRQfX7aUPqs,68,78,train
clay pottery making,KK5YCekCV5g,57,67,train
clay pottery making,Lx8qqrlPK4M,75,85,train
clay pottery making,zEPZQ3Bs2zI,44,54,train
clay pottery making,G81r1y8M644,7,17,train
clay pottery making,SVHkMPRQkuM,28,38,train
clay pottery making,1Dlc1vrl4Ig,27,37,train
clay pottery making,Hp_EpEraC7M,68,78,train
clay pottery making,JIXovLizht4,66,76,train
clay pottery making,TLCDTH9l1co,31,41,train
clay pottery making,7WCAczN1xoM,5,15,train
clay pottery making,Elf5ISk33DA,0,10,train
clay pottery making,nFr-Al4T-I4,4,14,train
clay pottery making,KRyLreuRVYA,56,66,train
clay pottery making,K49vVV2PBAs,76,86,train
clay pottery making,-dwPLa_eG38,2,12,train
clay pottery making,_IoAf1ShOQY,0,10,train
clay pottery making,NdcIkd3hd0I,42,52,train
clay pottery making,9zOx_IW_rAE,45,55,train
clay pottery making,nC73h-76YK0,37,47,train
news anchoring,_9i-1UJdl-Q,0,10,train
news anchoring,C82D4wAXjKg,2,12,train
news anchoring,h7yKDzTCLXY,26,36,train
news anchoring,OoV0U84YuDs,39,49,train
news anchoring,bb8aF1XI464,0,10,train
news anchoring,tA8MD_-bFb8,55,65,train
